Issue_Size(crores),QIB,HNI,RII,Offer Price,Month,Year,Demand_Gap,log_issue_size,Apply_Label,Nifty_Return_7d
260.15,242.4,503.83,104.92,215,1,2025,137.48000000000002,5.565094954882308,1,-0.4430278677946986
500.0,317.63,263.78,56.74,785,12,2024,260.89,6.2166061010848646,1,-1.2813221922048479
1600.0,9.08,13.85,5.87,643,12,2024,3.21,7.3783837129967145,1,-2.289155177589064
1250.0,2.21,0.6,0.71,704,12,2024,1.5,7.1316985104669115,0,-2.289155177589064
582.11,94.66,96.11,89.23,391,12,2024,5.429999999999993,6.368375847798085,1,-2.289155177589064
838.91,201.06,76.41,22.07,432,12,2024,178.99,6.733294743240011,1,-2.147434292303585
840.25,166.33,98.62,27.13,283,12,2024,139.20000000000002,6.734888880958938,1,-2.147434292303585
179.35,235.88,274.38,138.08,243,12,2024,97.79999999999998,5.194899407349548,1,-2.147434292303585
550.0,75.62,42.21,8.93,321,12,2024,66.69,6.311734809152915,1,-2.147434292303585
500.33,17.32,14.2,5.56,701,12,2024,11.760000000000002,6.217264566883401,1,-2.147434292303585
4225.0,45.8,24.84,11.21,417,12,2024,34.589999999999996,8.349011198176003,1,-4.278505416910194
2497.92,80.64,23.25,14.55,1329,12,2024,66.09,7.8236139175174095,1,-2.675132889207965
8000.0,80.75,14.25,2.31,78,12,2024,78.44,8.987321812850125,1,-1.7066103035257352
572.0,119.5,108.95,134.67,279,12,2024,-15.169999999999987,6.35088571671474,1,-1.7066103035257352
3042.62,30.93,4.92,1.37,549,12,2024,29.56,8.020802875446503,1,-1.7066103035257352
846.25,1.74,1.41,0.95,441,12,2024,0.79,6.741995810487161,0,1.6597406545099558
650.3,157.05,153.8,24.48,148,11,2024,132.57000000000002,6.478970365552356,1,2.6047562955758163
10000.0,3.32,0.81,3.44,108,11,2024,-0.1200000000000001,9.210440366976517,0,3.1539143256615443
1114.72,2.76,0.24,1.66,273,11,2024,1.0999999999999999,7.017255215404227,0,-0.9695036045107464
2200.0,2.06,0.68,2.73,74,11,2024,-0.6699999999999999,7.696667081526462,0,-2.8108582495577683
11327.4,6.02,0.41,1.14,390,11,2024,4.88,9.335068126044554,0,-1.8182641021180945
2900.0,3.54,0.97,3.1,289,11,2024,0.43999999999999995,7.972810784121404,0,-1.8182641021180945
2106.4,3.52,1.93,4.16,30,11,2024,-0.6400000000000001,7.6532102391654275,0,-1.7317903889213504
5430.0,3.79,5.05,0.94,463,11,2024,2.85,8.599878558034845,0,-1.6559865192640078
554.75,2.76,0.9,1.71,352,10,2024,1.0499999999999998,6.320318552844306,0,-1.7765555481381812
260.04,13.91,82.47,39.79,203,10,2024,-25.88,5.564673652285065,0,-1.6594008659932658
